x_label,season,episode_number,episode_title,ratings,scaled_ratings,viewership_mil
S9E165,9,165,New Guys,7.6,0.3125,4.28
S9E166,9,166,Roy's Wedding,7.1,0.15625,4.13
S9E167,9,167,Andy's Ancestry,7.4,0.25,4.14
S9E168,9,168,Work Bus,7.8,0.375,4.28
S9E169,9,169,Here Comes Treble,7.0,0.125,4.0
S9E170,9,170,The Boat,7.7,0.34375,4.83
S9E171,9,171,The Whale,7.6,0.3125,4.16
S9E172,9,172,The Target,7.8,0.375,3.88
S9E173,9,173,Dwight Christmas,8.4,0.5625,4.16
S9E174,9,174,Lice,7.6,0.3125,4.54
S9E175,9,175,Suit Warehouse,7.8,0.375,4.15
S9E176,9,176,Customer Loyalty,7.9,0.40625,4.19
S9E177,9,177,Junior Salesman,7.6,0.3125,4.45
S9E178,9,178,Vandalism,7.5,0.28125,3.97
S9E179,9,179,Couples Discount,7.3,0.21875,4.15
S9E180,9,180,Moving On,8.1,0.46875,4.06
S9E181,9,181,The Farm,7.5,0.28125,3.54
S9E182,9,182,Promos,8.0,0.4375,3.44
S9E183,9,183,Stairmageddon,8.0,0.4375,3.83
S9E184,9,184,Paper Airplane,8.0,0.4375,3.25
S9E185,9,185,Livin' the Dream,9.0,0.75,3.51
S9E186,9,186,A.A.R.M.,9.5,0.90625,4.56
S9E187,9,187,Finale,9.8,1.0,5.69
